Thành phố Long Xuyên,"Phường Mỹ Bình
Phường Mỹ Long
Phường Mỹ Xuyên
Phường Mỹ Phước
Phường Mỹ Quý
Phường Mỹ Hòa",Phường Long Xuyên,
Thành phố Long Xuyên,"Phường Mỹ Thới
Phường Mỹ Thạnh",Phường Mỹ Thới,
Thành phố Long Xuyên,"Phường Bình Đức
Phường Bình Khánh
Xã Mỹ Khánh",Phường Bình Đức,
Thành phố Long Xuyên,Xã Mỹ Hòa Hưng,Xã Mỹ Hoà Hưng,
Thành phố Châu Đốc,"Phường Vĩnh Nguơn
Phường Châu Phú A
Phường Châu Phú B
Phường Vĩnh Mỹ
Một phần xã Vĩnh Châu",Phường Châu Đốc,
Thành phố Châu Đốc,"Phường Núi Sam
Xã Vĩnh Tế
Một phần xã Vĩnh Châu",Phường Vĩnh Tế,
Thị xã Tân Châu,"Phường Long Thạnh
Phường Long Sơn",Phường Tân Châu,
Thị xã Tân Châu,"Phường Long Hưng
Phường Long Châu
Phường Long Phú",Phường Long Phú,
Thị xã Tân Châu,"Xã Tân Thạnh
Xã Tân An
Xã Long An",Xã Tân An,
Thị xã Tân Châu,"Xã Phú Vĩnh
Xã Lê Chánh
Xã Châu Phong",Xã Châu Phong,
Thị xã Tân Châu,"Xã Phú Lộc
Xã Vĩnh Xương
Xã Vĩnh Hòa",Xã Vĩnh Xương,
Thị xã Tịnh Biên,"Phường An Phú
Phường Tịnh Biên
Xã An Nông",Phường Tịnh Biên,
Thị xã Tịnh Biên,"Phường Nhơn Hưng
Phường Nhà Bàng
Phường Thới Sơn",Phường Thới Sơn,
Thị xã Tịnh Biên,"Phường Núi Voi
Phường Chi Lăng
Xã Tân Lợi",Phường Chi Lăng,
Thị xã Tịnh Biên,"Xã An Cư
Xã Văn Giáo
Xã Vĩnh Trung",Xã An Cư,
Thị xã Tịnh Biên,"Xã Tân Lập
Xã An Hảo",Xã Núi Cấm,
Huyện An Phú,"Thị trấn An Phú
Xã Vĩnh Hội Đông
Một phần xã Phú Hội
Một phần xã Phước Hưng",Xã An Phú,
Huyện An Phú,"Thị trấn Đa Phước
Xã Vĩnh Hậu
Xã Vĩnh Trường",Xã Vĩnh Hậu,
Huyện An Phú,"Xã Nhơn Hội
Xã Quốc Thái
Một phần xã Phú Hội
Một phần xã Phước Hưng",Xã Nhơn Hội,
Huyện An Phú,"Thị trấn Long Bình
Xã Khánh An
Xã Khánh Bình",Xã Khánh Bình,
Huyện An Phú,"Xã Phú Lộc
Xã Phú Hữu
Một phần xã Phước Hưng",Xã Phú Hữu,
Huyện Châu Phú,"Thị trấn Cái Dầu
Xã Bình Long
Xã Bình Phú",Xã Châu Phú,
Huyện Châu Phú,"Xã Khánh Hòa
Xã Mỹ Đức",Xã Mỹ Đức,
Huyện Châu Phú,"Thị trấn Vĩnh Thạnh Trung
Xã Mỹ Phú",Xã Vĩnh Thạnh Trung,
Huyện Châu Phú,"Xã Bình Mỹ
Xã Bình Thủy
Xã Bình Chánh",Xã Bình Mỹ,
Huyện Châu Phú,"Xã Thạnh Mỹ Tây
Xã Đào Hữu Cảnh
Xã Ô Long Vĩ",Xã Thạnh Mỹ Tây,
Huyện Châu Thành,"Thị trấn An Châu
Xã Hòa Bình Thạnh
Xã Vĩnh Thành",Xã An Châu,
Huyện Châu Thành,"Xã Bình Hòa
Xã Bình Thạnh
Xã An Hòa",Xã Bình Hòa,
Huyện Châu Thành,"Xã Cần Đăng
Xã Vĩnh Lợi",Xã Cần Đăng,
Huyện Châu Thành,"Xã Vĩnh Hanh
Xã Vĩnh Nhuận",Xã Vĩnh Hanh,
Huyện Châu Thành,"Xã Vĩnh Bình
Xã Vĩnh An
Xã Tân Phú",Xã Vĩnh An,
Huyện Chợ Mới,"Thị trấn Chợ Mới
Xã Kiến An
Xã Kiến Thành",Xã Chợ Mới,
Huyện Chợ Mới,"Xã Tấn Mỹ
Xã Mỹ Hiệp
Xã Bình Phước Xuân",Xã Cù Lao Giêng,
Huyện Chợ Mới,"Thị trấn Hội An
Xã Hòa Bình
Xã Hòa An",Xã Hội An,
Huyện Chợ Mới,"Thị trấn Mỹ Luông
Xã Long Điền A
Xã Long Điền B",Xã Long Điền,
Huyện Chợ Mới,"Xã Nhơn Mỹ
Xã Mỹ Hội Đông
Xã Long Giang",Xã Nhơn Mỹ,
Huyện Chợ Mới,"Xã Long Kiến
Xã An Thạnh Trung
Xã Mỹ An",Xã Long Kiến,
