Thành phố Bắc Ninh,"Phường Suối Hoa
Phường Tiền Ninh Vệ
Phường Vạn An
Phường Hòa Long
Phường Khúc Xuyên
Phường Kinh Bắc","Phường Kinh Bắc
(84.275 người / 19,95 km2)",
Thành phố Bắc Ninh,"Phường Đại Phúc
Phường Phong Khê
Phường Võ Cường","Phường Võ Cường
(67.255 người / 18,08 km2)",
Thành phố Bắc Ninh,"Phường Kim Chân
Phường Đáp Cầu
Phường Thị Cầu
Phường Vũ Ninh","Phường Vũ Ninh
(45.480 người / 13,43 km2)",
Thành phố Bắc Ninh,"Phường Khắc Niệm
Phường Hạp Lĩnh","Phường Hạp Lĩnh
(22.630 người / 12,65 km2)",
Thành phố Bắc Ninh,"Phường Vân Dương
Phường Nam Sơn","Phường Nam Sơn
(43.511 người / 18,53 km2)",
Thành phố Từ Sơn,"Phường Đông Ngàn
Phường Tân Hồng
Phường Phù Chẩn
Phường Đình Bảng","Phường Từ Sơn
(65.697 người / 20,31 km2)",
Thành phố Từ Sơn,"Phường Tương Giang
Phường Tam Sơn","Phường Tam Sơn
(28.562 người / 14,11 km2)",
Thành phố Từ Sơn,"Phường Trang Hạ
Phường Đồng Kỵ
Phường Đồng Nguyên","Phường Đồng Nguyên
(46.023 người / 12,64 km2)",
Thành phố Từ Sơn,"Phường Châu Khê
Phường Hương Mạc
Phường Phù Khê","Phường Phù Khê
(50.574 người / 14,03 km2)",
Thị xã Thuận Thành,"Phường Hồ
Phường Song Hồ
Phường Gia Đông
Xã Đại Đồng Thành","Phường Thuận Thành
(52.318 người / 26,58 km2)",
Thị xã Thuận Thành,"Phường An Bình
Xã Hoài Thượng
Xã Mão Điền","Phường Mão Điền
(42.785 người / 19,5 km2)",
Thị xã Thuận Thành,"Xã Nghĩa Đạo
Phường Trạm Lộ","Phường Trạm Lộ
(21.132 người / 18,24 km2)",
Thị xã Thuận Thành,"Phường Thanh Khương
Xã Đình Tổ
Phường Trí Quả","Phường Trí Quả
(34.574 người / 19,95 km2)",
Thị xã Thuận Thành,"Phường Xuân Lâm
Phường Hà Mãn
Xã Ngũ Thái
Xã Song Liễu","Phường Song Liễu
(31.758 người / 17,75 km2)",
Thị xã Thuận Thành,"Xã Nguyệt Đức
Phường Ninh Xá","Phường Ninh Xá
(22.369 người / 15,81 km2)",
Thị xã Quế Võ,"Phường Phố Mới
Phường Bằng An
Phường Việt Hùng
Phường Quế Tân","Phường Quế Võ
(40.194 người / 23,51 km2)",
Thị xã Quế Võ,"Phường Phượng Mao
Phường Phương Liễu","Phường Phương Liễu
(42.255 người / 13,37 km2)",
Thị xã Quế Võ,"Xã Việt Thống
Phường Đại Xuân
Phường Nhân Hòa","Phường Nhân Hòa
(30.909 người / 20,3 km2)",
Thị xã Quế Võ,"Xã Ngọc Xá
Phường Phù Lương
Xã Đào Viên","Phường Đào Viên
(34.724 người / 26,63 km2)",
Thị xã Quế Võ,"Xã Mộ Đạo
Phường Cách Bi
Phường Bồng Lai","Phường Bồng Lai
(25.375 người / 19,76 km2)",
Thị xã Quế Võ,"Xã Chi Lăng
Xã Yên Giả","Xã Chi Lăng
(23.317 người / 23,39 km2)",
Thị xã Quế Võ,"Xã Châu Phong
Xã Đức Long
Xã Phù Lãng","Xã Phù Lãng
(26.964 người / 28,15 km2)",
Huyện Yên Phong,"Thị trấn Chờ
Xã Trung Nghĩa
Xã Long Châu
Xã Đông Tiến","Xã Yên Phong
(63.489 người / 27,89 km2)",
Huyện Yên Phong,"Xã Yên Phụ
Xã Đông Thọ
Xã Văn Môn","Xã Văn Môn
(37.449 người / 15,26 km2)",
Huyện Yên Phong,"Xã Hòa Tiến
Xã Tam Giang","Xã Tam Giang
(25.590 người / 14,93 km2)",
Huyện Yên Phong,"Xã Dũng Liệt
Xã Yên Trung","Xã Yên Trung
(36.329 người / 18,34 km2)",
Huyện Yên Phong,"Xã Thụy Hòa
Xã Đông Phong
Xã Tam Đa","Xã Tam Đa
(36.730 người / 20,52 km2)",
Huyện Tiên Du,"Thị trấn Lim
Xã Nội Duệ
Xã Phú Lâm","Xã Tiên Du
(44.812 người / 20,97 km2)",
Huyện Tiên Du,"Xã Hiên Vân
Xã Việt Đoàn
Xã Liên Bão","Xã Liên Bão
(34.273 người / 19,82 km2)",
Huyện Tiên Du,"Xã Lạc Vệ
Xã Tân Chi","Xã Tân Chi
(27.812 người / 18,11 km2)",
Huyện Tiên Du,"Xã Tri Phương
Xã Hoàn Sơn
Xã Đại Đồng","Xã Đại Đồng
(84.258 người / 19,88 km2)",
Huyện Tiên Du,"Xã Minh Đạo
Xã Cảnh Hưng
Xã Phật Tích","Xã Phật Tích
(23.960 người / 16,83 km2)",
Huyện Gia Bình,"Thị trấn Gia Bình
Xã Xuân Lai
Xã Quỳnh Phú
Xã Đại Bái","Xã Gia Bình
(42.764 người / 29,98 km2)",
Huyện Gia Bình,"Xã Thái Bảo
Xã Bình Dương
Thị trấn Nhân Thắng","Xã Nhân Thắng
(26.738 người / 22,14 km2)",
Huyện Gia Bình,"Xã Song Giang
Xã Đại Lai","Xã Đại Lai
(19.308 người / 15,32 km2)",
Huyện Gia Bình,"Xã Vạn Ninh
Xã Cao Đức","Xã Cao Đức
(16.966 người / 19,76 km2)",
Huyện Gia Bình,"Xã Giang Sơn
Xã Lãng Ngâm
Xã Đông Cứu","Xã Đông Cứu
(28.528 người / 20,39 km2)",
Huyện Lương Tài,"Thị trấn Thứa
Xã Phú Hòa
Xã Tân Lãng","Xã Lương Tài
(31.830 người / 24,69 km2)",
Huyện Lương Tài,"Xã Bình Định
Xã Quảng Phú
Xã Lâm Thao","Xã Lâm Thao
(32.432 người / 26,26 km2)",
Huyện Lương Tài,"Xã Phú Lương
Xã Quang Minh
Xã Trung Chính","Xã Trung Chính
(26.960 người / 27,64 km2)",
Huyện Lương Tài,"Xã An Thịnh
Xã An Tập
Xã Trung Kênh","Xã Trung Kênh
(38.606 người / 27,32 km2)",
