Thành phố Cà Mau,,Phường An Xuyên,
Thành phố Cà Mau,,Phường Lý Văn Lâm,
Thành phố Cà Mau,,Phường Tân Thành,
Thành phố Cà Mau,,Phường Hòa Thành,
Huyện Cái Nước,,Xã Lương Thế Trân,
Huyện Cái Nước,,Xã Tân Hưng,
Huyện Cái Nước,,Xã Hưng Mỹ,
Huyện Cái Nước,,Xã Cái Nước,
Huyện Đầm Dơi,,Xã Tân Thuận,
Huyện Đầm Dơi,,Xã Tân Tiến,
Huyện Đầm Dơi,,Xã Tạ An Khương,
Huyện Đầm Dơi,,Xã Trần Phán,
Huyện Đầm Dơi,,Xã Thanh Tùng,
Huyện Đầm Dơi,,Xã Đầm Dơi,
Huyện Đầm Dơi,,Xã Quách Văn Phẩm,
Huyện Năm Căn,,Xã Đất Mới,
Huyện Năm Căn,,Xã Năm Căn,
Huyện Năm Căn,,Xã Tam Giang,
Huyện Ngọc Hiển,,Xã Phan Ngọc Hiển,
Huyện Ngọc Hiển,,Xã Đất Mũi,
Huyện Ngọc Hiển,,Xã Tân Ân,
Huyện Phú Tân,,Xã Cái Đôi Vàm,
Huyện Phú Tân,,Xã Nguyễn Việt Khái,
Huyện Phú Tân,,Xã Phú Tân,
Huyện Phú Tân,,Xã Phú Mỹ,
Huyện Thới Bình,,Xã Thới Bình,
Huyện Thới Bình,,Xã Trí Phải,
Huyện Thới Bình,,Xã Tân Lộc,
Huyện Thới Bình,,Xã Biển Bạch,
Huyện Thới Bình,Xã Hồ Thị Kỷ,Xã Hồ Thị Kỷ,
Huyện Trần Văn Thời,,Xã Khánh Bình,
Huyện Trần Văn Thời,,Xã Đá Bạc,
Huyện Trần Văn Thời,,Xã Khánh Hưng,
Huyện Trần Văn Thời,,Xã Sông Đốc,
Huyện Trần Văn Thời,,Xã Trần Văn Thời,
Huyện U Minh,,Xã U Minh,
Huyện U Minh,,Xã Nguyễn Phích,
Huyện U Minh,,Xã Khánh Lâm,
Huyện U Minh,,Xã Khánh An,
Thành phố Bạc Liêu,"Phường 1
Phường 2
Phường 3
Phường 7
Phường 8",Phường Bạc Liêu,
Thành phố Bạc Liêu,"Phường 5
Xã Vĩnh Trạch",Phường Vĩnh Trạch,
Thành phố Bạc Liêu,"Phường Nhà Mát
Xã Hiệp Thành
Xã Vĩnh Trạch Đông",Phường Hiệp Thành,
Thị xã Giá Rai,"Phường 1
Phường Hộ Phòng
Xã Phong Thạnh
Xã Phong Thạnh A",Phường Giá Rai,
Thị xã Giá Rai,"Phường Láng Tròn
Xã Phong Tân
Xã Phong Thạnh Đông",Phường Láng Tròn,
Thị xã Giá Rai,"Xã Phong Thạnh Tây
Xã Tân Phong
Xã Tân Thạnh",Xã Phong Thạnh,
Huyện Đông Hải,"Thị trấn Gành Hào
Xã Long Điền Tây",Xã Gành Hào,
Huyện Đông Hải,"Xã Định Thành
Xã Định Thành A
Xã An Phúc",xã Định Thành,
Huyện Đông Hải,"Xã An Trạch
Xã An Trạch A",Xã An Trạch,
Huyện Đông Hải,"Xã Điền Hải
Xã Long Điền",Xã Long Điền,
Huyện Đông Hải,"Xã Long Điền Đông
Xã Long Điền Đông A",Xã Đông Hải,
Huyện Hòa Bình,"Thị trấn Hòa Bình
Xã Vĩnh Mỹ A
Xã Long Thạnh (huyện Vĩnh Lợi)",Xã Hòa Bình,
Huyện Hòa Bình,"Minh Diệu
Xã Vĩnh Bình
Xã Vĩnh Mỹ B",Xã Vĩnh Mỹ,
Huyện Hòa Bình,"Xã Vĩnh Hậu
Xã Vĩnh Hậu A
Xã Vĩnh Thịnh",Xã Vĩnh Hậu,
Huyện Hồng Dân,"Thị trấn Ngan Dừa
Xã Lộc Ninh
Xã Ninh Hòa",Xã Hồng Dân,
Huyện Hồng Dân,"Xã Vĩnh Lộc
Xã Vĩnh Lộc A",Xã Vĩnh Lộc,
Huyện Hồng Dân,"Xã Ninh Thạnh Lợi
Xã Ninh Thạnh Lợi A",Xã Ninh Thạnh Lợi,
Huyện Hồng Dân,"Xã Ninh Quới
Xã Ninh Quới A",Xã Ninh Quới,
Huyện Phước Long,"Thị trấn Phước Long
Xã Vĩnh Phú Đông",Xã Phước Long,
Huyện Phước Long,"Xã Phước Long
Xã Vĩnh Phú Tây",Xã Vĩnh Phước,
Huyện Phước Long,"Xã Phong Thạnh Tây A
Xã Phong Thạnh Tây B",Xã Phong Hiệp,
Huyện Phước Long,"Xã Hưng Phú
Xã Vĩnh Thanh",Xã Vĩnh Thanh,
Huyện Vĩnh Lợi,"Thị trấn Châu Hưng 
Xã Châu Hưng A",Xã Vĩnh Lợi,
Huyện Vĩnh Lợi,"Xã Hưng Hội
Xã Hưng Thành",Xã Hưng Hội,
Huyện Vĩnh Lợi,"Xã Châu Thới
Xã Vĩnh Hưng
Xã Vĩnh Hưng A",Xã Châu Thới,
