Quận Bình Thủy,"Phường Thới An Đông
Phường Trà An
Phường Trà Nóc",Phường Thới An Đông,
Quận Bình Thủy,"Phường Bình Thủy
Phường An Thới
Một phần phường Bùi Hữu Nghĩa",Phường Bình Thủy,
Quận Bình Thủy,"Phường Long Tuyền
Phường Long Hòa",Phường Long Tuyền,
Quận Cái Răng,"Phường Ba Láng
Phường Hưng Thạnh
Phường Lê Bình
Phường Thường Thạnh",Phường Cái Răng,
Quận Cái Răng,"Phường Hưng Phú
Phường Phú Thứ
Phường Tân Phú",Phường Hưng Phú,
Quận Ninh Kiều,"Phường Tân An
 Phường Thới Bình
Phường Xuân Khánh",Phường Ninh Kiều,
Quận Ninh Kiều,"Phường Cái Khế
Phường An Hòa
Một phần phường Bùi Hữu Nghĩa (quận Bình Thủy)",Phường Cái Khế,
Quận Ninh Kiều,"Phường Hưng Lợi
Phường An Khánh",Phường Tân An,
Quận Ninh Kiều,"Phường An Bình
Xã Mỹ Khánh (huyện Phong Điền)",Phường An Bình,
Quận Ô Môn,"Phường Thới Long
Phường Long Hưng
Phường Tân Hưng (quận Thốt Nốt)",Phường Thới Long,
Quận Ô Môn,"Phường Phước Thới
Phường Trường Lạc",Phường Phước Thới,
Quận Ô Môn,"Phường Châu Văn Liêm
Phường Thới An
Phường Thới Hòa
Xã Thới Thạnh (huyện Thới Lai)",Phường Ô Môn,
Quận Thốt Nốt,"Phường Trung Nhứt
Phường Thạnh Hòa
Xã Trung An (huyện Cờ Đỏ)",Phường Trung Nhứt,
Quận Thốt Nốt,"Phường Thốt Nốt
Phường Thới Thuận
Phường Thuận An",Phường Thốt Nốt,
Quận Thốt Nốt,"Phường Thuận Hưng
Phường Trung Kiên",Phường Thuận Hưng,
Quận Thốt Nốt,Phường Tân Lộc,Phường Tân Lộc,
Huyện Cờ Đỏ,"Thị trấn Cờ Đỏ
Xã Thới Đông
Xã Thới Xuân",Xã Cờ Đỏ,
Huyện Cờ Đỏ,"Xã Đông Hiệp
Xã Đông Thắng
Xã Xuân Thắng (huyện Thới Lai)",Xã Đông Hiệp,
Huyện Cờ Đỏ,"Xã Trung Hưng
Xã Trung Thạnh",Xã Trung Hưng,
Huyện Cờ Đỏ,Xã Thạnh Phú,Xã Thạnh Phú,
Huyện Cờ Đỏ,Xã Thới Hưng,Xã Thới Hưng,
Huyện Phong Điền,"Xã Nhơn Ái
Xã Nhơn Nghĩa",Xã Nhơn Ái,
Huyện Phong Điền,"Thị trấn Phong Điền
Xã Giai Xuân
Xã Tân Thới",Xã Phong Điền,
Huyện Phong Điền,Xã Trường Long,Xã Trường Long,
Huyện Thới Lai,"Thị trấn Thới Lai
Xã Thới Tân
Xã Trường Thắng",Xã Thới Lai,
Huyện Thới Lai,"Xã Đông Thuận
Xã Đông Bình",Xã Đông Thuận,
Huyện Thới Lai,"Xã Trường Xuân
Xã Trường Xuân A
Xã Trường Xuân B",Xã Trường Xuân,
Huyện Thới Lai,"Xã Trường Thành
Xã Định Môn
Xã Tân Thạnh",Xã Trường Thành,
Huyện Vĩnh Thạnh,"Thị trấn Vĩnh Thạnh
Xã Thạnh Lộc
Xã Thạnh Mỹ",Xã Vĩnh Thạnh,
Huyện Vĩnh Thạnh,"Xã Thạnh Quới
Xã Thạnh An
Xã Thạnh Tiến",Xã Thạnh Quới,
Huyện Vĩnh Thạnh,"Xã Vĩnh Trinh
Xã Vĩnh Bình",Xã Vĩnh Trinh,
Huyện Vĩnh Thạnh,"Thị trấn Thạnh An
Xã Thạnh Lợi
Xã Thạnh Thắng",Xã Thạnh An,
Thành phố Sóc Trăng,"Phường 1
Phường 2
Phường 3
Phường 4",Phường Phú Lợi,
Thành phố Sóc Trăng,"Phường 5
Phường 6
Phường 7
Phường 8",Phường Sóc Trăng,
Thị xã Ngã Năm,"Phường 1
 Phường 2
Xã Vĩnh Quới",Phường Ngã Năm,
Thị xã Ngã Năm,"Phường 3
Xã Mỹ Quới
Xã Mỹ Bình",Phường Mỹ Quới,
Thị xã Ngã Năm,"Xã Tân Long
Xã Long Bình
Xã Thạnh Tân (huyện Thạnh Trị)",Xã Tân Long,
Thị xã Vĩnh Châu,"Phường Vĩnh Phước
Xã Vĩnh Tân",Phường Vĩnh Phước,
Thị xã Vĩnh Châu,"Phường 1
 Phường 2
Xã Lạc Hòa",Phường Vĩnh Châu,
Thị xã Vĩnh Châu,"Phường Khánh Hòa
Xã Vĩnh Hiệp
Xã Hòa Đông",Phường Khánh Hòa,
Thị xã Vĩnh Châu,Xã Lai Hòa,Xã Lai Hòa,
Thị xã Vĩnh Châu,Xã Vĩnh Hải,Xã Vĩnh Hải,
Huyện Châu Thành,"Thị trấn Châu Thành
Xã Phú Tâm",Xã Phú Tâm,
Huyện Châu Thành,"Xã An Ninh
Xã An Hiệp",Xã An Ninh,
