Thành phố Biên Hòa,"Các phường Bửu Hòa, Hóa An, Tân Hạnh, Tân Vạn",Phường Biên Hòa,
Thành phố Biên Hòa,"Các phường An Bình, Bửu Long, Hiệp Hòa, Quang Vinh, Thống Nhất, Trung Dũng",Phường Trấn Biên,
Thành phố Biên Hòa,"Các phường Bình Đa, Tam Hiệp, Tân Hiệp, Tân Mai",Phường Tam Hiệp,
Thành phố Biên Hòa,"Các phường Hố Nai, Long Bình, Tân Biên",Phường Long Bình,
Thành phố Biên Hòa,"Phường Trảng Dài
Xã Thiện Tân (huyện Vĩnh Cửu)",Phường Trảng Dài,
Thành phố Biên Hòa,"Phường Tân Hòa
Xã Hố Nai 3 (huyện Trảng Bom)",Phường Hố Nai,
Thành phố Biên Hòa,"Các phường An Hòa, Long Bình Tân
Xã Long Hưng",Phường Long Hưng,
Thành phố Biên Hòa,Phường Phước Tân,Phường Phước Tân,
Thành phố Biên Hòa,Phường Tam Phước,Phường Tam Phước,
Thành phố Long Khánh,"Phường Suối Tre
Xã Bình Lộc
Xã Xuân Thiện (huyện Thống Nhất)",Phường Bình Lộc,
Thành phố Long Khánh,"Phường Bảo Vinh
Xã Bảo Quang",Phường Bảo Vinh,
Thành phố Long Khánh,"Các phường Bàu Sen, Xuân Lập",Phường Xuân Lập,
Thành phố Long Khánh,"Các phường Phú Bình, Xuân An, Xuân Bình, Xuân Hòa
Xã Bàu Trâm",Phường Long Khánh,
Thành phố Long Khánh,"Phường Xuân Tân
Xã Hàng Gòn",Phường Hàng Gòn,
Huyện Cẩm Mỹ,"Các xã Sông Nhạn, Xuân Quế",Xã Xuân Quế,
Huyện Cẩm Mỹ,"Các xã Cẩm Đường (huyện Long Thành), Thừa Đức, Xuân Đường",Xã Xuân Đường,
Huyện Cẩm Mỹ,"Thị trấn Long Giao
Các xã Bảo Bình, Nhân Nghĩa, Xuân Mỹ",Xã Cẩm Mỹ,
Huyện Cẩm Mỹ,"Các xã Lâm San, Sông Ray",Xã Sông Ray,
Huyện Cẩm Mỹ,"Các xã Xuân Đông, Xuân Tây
Ấp Bằng Lăng, xã Xuân Tâm (huyện Xuân Lộc)",Xã Xuân Đông,
Huyện Định Quán,"Các xã La Ngà, Túc Trưng",Xã La Ngà,
Huyện Định Quán,"Thị trấn Định Quán
Các xã Gia Canh, Ngọc Định, Phú Ngọc",Xã Định Quán,
Huyện Định Quán,Xã Thanh Sơn,Xã Thanh Sơn,
Huyện Định Quán,"Các xã Phú Tân, Phú Vinh",Xã Phú Vinh,
Huyện Định Quán,"Các xã Phú Điền (huyện Tân Phú), Phú Hòa, Phú Lợi",Xã Phú Hòa,
Huyện Long Thành,"Các xã Phước Bình, Phước Thái, Tân Hiệp",Xã Phước Thái,
Huyện Long Thành,"Các xã Bàu Cạn, Long Phước",Xã Long Phước,
Huyện Long Thành,"Các xã Bình An, Long Đức",Xã Bình An,
Huyện Long Thành,"Thị trấn Long Thành
Các xã Bình Sơn, Lộc An, Long An",Xã Long Thành,
Huyện Long Thành,"Các xã An Phước, Tam An",Xã An Phước,
Huyện Nhơn Trạch,"Các xã Đại Phước, Phú Đông, Phú Hữu, Phước Khánh",Xã Đại Phước,
Huyện Nhơn Trạch,"Thị trấn Hiệp Phước
Các xã Long Tân, Phú Hội, Phú Thạnh, Phước Thiền",Xã Nhơn Trạch,
Huyện Nhơn Trạch,"Các xã Long Thọ, Phước An, Vĩnh Thanh",Xã Phước An,
Huyện Tân Phú,"Các xã Phú Lập, Phú Thịnh, Tà Lài",Xã Tà Lài,
Huyện Tân Phú,"Các xã Nam Cát Tiên, Phú An",Xã Nam Cát Tiên,
Huyện Tân Phú,"Thị trấn Tân Phú
Các xã Phú Lộc, Phú Thanh, Phú Xuân, Trà Cổ",Xã Tân Phú,
Huyện Tân Phú,"Các xã Phú Bình, Phú Lâm, Phú Sơn, Thanh Sơn",Xã Phú Lâm,
Huyện Tân Phú,Xã Đắc Lua,Xã Đắc Lua,
Huyện Thống Nhất,"Thị trấn Dầu Giây
Các xã Bàu Hàm 2, Hưng Lộc, Lộ 25",Xã Dầu Giây,
Huyện Thống Nhất,"Các xã Gia Kiệm, Gia Tân 3, Quang Trung",Xã Gia Kiệm,
Huyện Thống Nhất,"Các xã Gia Tân 1, Gia Tân 2
Xã Phú Cường (huyện Định Quán)
Xã Phú Túc (huyện Định Quán)",Xã Thống Nhất,
Huyện Trảng Bom,"Các xã An Viễn, Đồi 61",Xã An Viễn,
Huyện Trảng Bom,"Các xã Bắc Sơn, Bình Minh",Xã Bình Minh,
Huyện Trảng Bom,"Thị trấn Trảng Bom
Các xã Giang Điền, Quảng Tiến, Sông Trầu",Xã Trảng Bom,
Huyện Trảng Bom,"Các xã Bàu Hàm, Cây Gáo, Sông Thao, Thanh Bình",Xã Bàu Hàm,
Huyện Trảng Bom,"Các xã Đông Hòa, Hưng Thịnh, Tây Hòa, Trung Hòa",Xã Hưng Thịnh,
Huyện Vĩnh Cửu,Xã Phú Lý,Xã Phú Lý,
Huyện Vĩnh Cửu,"Thị trấn Vĩnh An
Các xã Mã Đà, Trị An",Xã Trị An,
Huyện Vĩnh Cửu,"Các xã Tân An, Vĩnh Tân",Xã Tân An,
Huyện Vĩnh Cửu,"Phường Tân Phong (thành phố Biên Hòa)
Các xã Bình Lợi, Tân Bình, Thạnh Phú",Phường Tân Triều,
Huyện Xuân Lộc,"Các xã Bảo Hòa, Xuân Định
Xã Xuân Bảo (huyện Cẩm Mỹ)",Xã Xuân Định,
Huyện Xuân Lộc,"Các xã Lang Minh, Xuân Phú",Xã Xuân Phú,
Huyện Xuân Lộc,"Thị trấn Gia Ray
Các xã Suối Cát, Xuân Hiệp, Xuân Thọ, Xuân Trường",Xã Xuân Lộc,
Huyện Xuân Lộc,"Các xã Xuân Hòa, Xuân Hưng, Xuân Tâm",Xã Xuân Hòa,
Huyện Xuân Lộc,"Các xã Suối Cao, Xuân Thành",Xã Xuân Thành,
Huyện Xuân Lộc,"Xã Suối Nho (huyện Định Quán)
Xã Xuân Bắc",Xã Xuân Bắc,
Thành phố Đồng Xoài,"Phường Tiến Thành
Xã Tân Thành",Phường Đồng Xoài,
Thành phố Đồng Xoài,"Các phường Tân Đồng, Tân Thiện, Tân Bình, Tân Xuân
Các xã Tiến Hưng, Tân Phú",Phường Bình Phước,
Thị xã Bình Long,"Các phường An Lộc, Hưng Chiến, Phú Đức
Xã Thanh Bình (huyện Hớn Quản)",Phường Bình Long,
Thị xã Bình Long,"Các xã Phú Thịnh, Thanh Phú, Thanh Lương",Phường An Lộc,
Thị xã Chơn Thành,"Các phường Hưng Long, Thành Tâm, Minh Thành",Phường Chơn Thành,
Thị xã Chơn Thành,"Các phường Minh Hưng, Minh Long",Phường Minh Hưng,
Thị xã Chơn Thành,"Các xã Nha Bích, Minh Thắng, Minh Lập",Xã Nha Bích,
Thị xã Phước Long,"Các phường Thác Mơ, Sơn Giang, Phước Tín
Xã Long Thủy",Phường Phước Long,
Thị xã Phước Long,"Các phường Long Phước, Phước Bình
Các xã Bình Sơn (huyện Phú Riềng), Long Giang",Phường Phước Bình,
Huyện Bù Đăng,"Thị trấn Đức Phong
Các xã Đoàn Kết, Minh Hưng",Xã Bù Đăng,
Huyện Bù Đăng,"Các xã Thống Nhất, Phước Sơn",Xã Phước Sơn,
Huyện Bù Đăng,"Các xã Đức Liễu, Nghĩa Bình, Nghĩa Trung",Xã Nghĩa Trung,
Huyện Bù Đăng,"Các xã Phú Sơn, Thọ Sơn, Đồng Nai",Xã Thọ Sơn,
Huyện Bù Đăng,"Các xã Đường 10, Đak Nhau",Xã Đak Nhau,
Huyện Bù Đăng,"Các xã Bom Bo, Bình Minh",Xã Bom Bo,
Huyện Bù Đăng,Xã Đăng Hà,Xã Đăng Hà,
Huyện Bù Đốp,"Thị trấn Thanh Bình
Các xã Thanh Hòa, Thiện Hưng",Xã Thiện Hưng,
Huyện Bù Đốp,"Các xã Tân Tiến, Tân Thành
Xã Lộc An (huyện Lộc Ninh)",Xã Tân Tiến,
Huyện Bù Đốp,"Các xã Hưng Phước, Phước Thiện",Xã Hưng Phước,
Huyện Bù Gia Mập,Xã Bù Gia Mập,Xã Bù Gia Mập,
Huyện Bù Gia Mập,Xã Đăk Ơ,Xã Đăk Ơ,
Huyện Bù Gia Mập,Xã Phú Nghĩa,Xã Phú Nghĩa,
