Thành phố Cao Lãnh,,,
Thành phố Hồng Ngự,,,
Thành phố Sa Đéc,,,
Huyện Cao Lãnh,,,
Huyện Châu Thành,,,
Huyện Hồng Ngự,,,
Huyện Lai Vung,"Xã Tân Thành
Xã Tân Phước
Xã Định An, Lấp Vò
Xã Định Yên, Lấp Vò",Xã Lai Vung,
Huyện Lấp Vò,"Xã Định An
Xã Định Yên
Xã Tân Thành, Lai Vung
Xã Tân Phước, Lai Vung",Xã Lai Vung,
Huyện Tam Nông,,,
Huyện Tân Hồng,,,
Huyện Thanh Bình,,,
Huyện Tháp Mười,,,
Thành phố Mỹ Tho,"Phường 1
 Phường 2
Phường Tân Long",Phường Mỹ Tho,
Thành phố Mỹ Tho,"Phường 4
 Phường 5
Xã Đạo Thạnh",Phường Đạo Thạnh,
Thành phố Mỹ Tho,"Phường 6
Xã Thới Sơn",Phường Thới Sơn,
Thành phố Mỹ Tho,"Phường 9
Xã Tân Mỹ Chánh
Xã Mỹ Phong",Phường Mỹ Phong,
Thành phố Mỹ Tho,"Phường 10
Xã Trung An
Xã Phước Thạnh",Phường Trung An,
Thành phố Gò Công,"Phường 1
Phường 5
Phường Long Hòa",Phường Gò Công,
Thành phố Gò Công,"Phường 2
Phường Long Thuận",Phường Long Thuận,
Thành phố Gò Công,"Phường Long Hưng
Xã Tân Trung
Xã Bình Đông",Phường Sơn Quy,
Thành phố Gò Công,"Phường Long Chánh
Xã Bình Xuân",Phường Bình Xuân,
Thị xã Cai Lậy,"Phường 4
Phường 5
Xã Long Khánh",Phường Cai Lậy,
Thị xã Cai Lậy,"Phường 1
Phường 3
Xã Mỹ Hạnh Trung
Xã Mỹ Phước Tây",Phường Mỹ Phước Tây,
Thị xã Cai Lậy,"Phường 2
Xã Tân Bình
Xã Thanh Hòa",Phường Thanh Hòa,
Thị xã Cai Lậy,"Phường Nhị Mỹ
Xã Phú Quý
Xã Nhị Quý",Phường Nhị Quý,
Thị xã Cai Lậy,"Xã Tân Phú
Xã Tân Hội
Xã Mỹ Hạnh Đông",Xã Tân Phú,
Huyện Cái Bè,"Thị trấn Cái Bè
Xã Đông Hòa Hiệp
Xã Hòa Khánh",Xã Cái Bè,
Huyện Cái Bè,"Xã An Cư
Xã Mỹ Hội
Xã Hậu Thành
Xã Hậu Mỹ Phú",Xã Hội Cư,
Huyện Cái Bè,"Xã Hậu Mỹ Bắc A
Xã Hậu Mỹ Bắc B
Xã Hậu Mỹ Trinh",Xã Hậu Mỹ,
Huyện Cái Bè,"Xã Mỹ Tân
Xã Mỹ Trung
Xã Thiện Trung",Xã Mỹ Thiện,
Huyện Cái Bè,"Xã Thiện Trí
Xã Mỹ Đức Đông
Xã Mỹ Đức Tây",Xã Mỹ Đức Tây,
Huyện Cái Bè,"Xã An Thái Đông
Xã Mỹ Lợi A
Xã Mỹ Lợi B",Xã Mỹ Lợi,
Huyện Cái Bè,"Xã An Thái Trung
Xã Tân Thanh
Xã Tân Hưng",Xã Thanh Hưng,
Huyện Cái Bè,"Xã An Hữu
Xã Hòa Hưng
Xã Mỹ Lương",Xã An Hữu,
Huyện Cai Lậy,"Thị trấn Bình Phú
Xã Phú An
Xã Cẩm Sơn",Xã Bình Phú,
