Thành phố Pleiku,"Phường Yên Thế
Phường Đống Đa
Phường Thống Nhất",Phường Thống Nhất,
Thành phố Pleiku,"Phường Yên Đỗ
Phường Diên Hồng
Phường Ia Kring
Xã Diên Phú",Phường Diên Hồng,
Thành phố Pleiku,"Phường Tây Sơn
Phường Hội Thương
Phường Hoa Lư
Phường Phù Đổng
Xã Trà Đa",Phường Pleiku,
Thành phố Pleiku,"Phường Hội Phú
Phường Trà Bá
Phường Chi Lăng",Phường Hội Phú,
Thành phố Pleiku,"Phường Thắng Lợi
Xã Chư Ă
Xã An Phú",Phường An Phú,
Thành phố Pleiku,"Xã Ia Kênh
Xã Gào
Xã Ia Pếch (huyện Ia Grai)",Xã Gào,
Thành phố Pleiku,"Xã Biển Hồ 
Xã Nghĩa Hưng (huyện Chư Păh)
Xã Chư Đang Ya (huyện Chư Păh) 
Xã Hà Bầu (huyện Đak Đoa)",Xã Biển Hồ,
Thị xã An Khê,"Phường Ngô Mây
Phường An Tân
Phường An Phú
Phường Tây Sơn
Phường An Phước 
Xã Thành An",Phường An Khê,
Thị xã An Khê,"Phường An Bình
Xã Tân An
Xã Cư An (huyện Đak Pơ)",Phường An Bình,
Thị xã An Khê,"Xã Song An
Xã Xuân An
Xã Cửu An
Xã Tú An",Xã Cửu An,
Thị xã Ayun Pa,"Phường Sông Bờ
Phường Đoàn Kết
Phường Cheo Reo
Phường Hòa Bình",Phường Ayun Pa,
Thị xã Ayun Pa,"Xã Chư Băh
Xã Ia RBol",Xã Ia Rbol,
Thị xã Ayun Pa,"Xã Ia Sao 
Xã Ia R'tô",Xã Ia Sao,
Huyện Chư Păh,"Thị trấn Ia Ly
Xã Ia Mơ Nông
Xã Ia Kreng",Xã Ia Ly,
Huyện Chư Păh,"Thị trấn Phú Hòa
Xã Nghĩa Hòa
Xã Hòa Phú",Xã Chư Păh,
Huyện Chư Păh,"Xã Ia Khươl
Xã Đăk Tơ Ver
Xã Hà Tây",Xã Ia Khươl,
Huyện Chư Păh,"Xã Ia Ka
Xã Ia Nhin
Xã Ia Phí",Xã Ia Phí,
Huyện Chư Prông,"Thị trấn Chư Prông
Xã Ia Phìn
Xã Ia Kly
Xã Ia Drang",Xã Chư Prông,
Huyện Chư Prông,"Xã Thăng Hưng
Xã Bàu Cạn
Xã Bình Giáo",Xã Bàu Cạn,
Huyện Chư Prông,"Xã Ia Boòng
Xã Ia Me
Xã Ia O",Xã Ia Boòng,
Huyện Chư Prông,"Xã Ia Lâu
Xã Ia Piơr",Xã Ia Lâu,
Huyện Chư Prông,"Xã Ia Pia
Xã Ia Ga
Xã Ia Vê",Xã Ia Pia,
