Quận Hoàn Kiếm,"Các phường Hàng Mã, Hàng Bồ, Hàng Đào, Hàng Bạc, Hàng Buồm, Hàng Gai, Lý Thái Tổ
Phần lớn các phường Đồng Xuân, Tràng Tiền, Cửa Đông, Hàng Bông, Hàng Trống
Một phần các phường Cửa Nam, Điện Biên (quận Ba Đình)",Phường Hoàn Kiếm,
Quận Hoàn Kiếm,"Các phường Trần Hưng Đạo, Hàng Bài, Phan Chu Trinh
Phần lớn phường Cửa Nam
Một phần các phường Hàng Bông, Hàng Trống, Tràng Tiền, Phạm Đình Hổ (quận Hai Bà Trưng), Nguyễn Du (quận Hai Bà Trưng)",Phường Cửa Nam,
Quận Ba Đình,"Các phường Quán Thánh, Trúc Bạch
Phần lớn các phường Điện Biên, Ngọc Hà
Một phần các phường Đội Cấn, Kim Mã, Đồng Xuân (quận Hoàn Kiếm), Cửa Đông (quận Hoàn Kiếm), Cửa Nam (quận Hoàn Kiếm), Thụy Khuê (quận Tây Hồ)",Phường Ba Đình,
Quận Ba Đình,"Các phường Vĩnh Phúc, Liễu Giai
Phần lớn các phường Ngọc Hà, Đội Cấn, Kim Mã, Cống Vị
Một phần các phường Ngọc Khánh, Nghĩa Đô (quận Cầu Giấy)",Phường Ngọc Hà,
Quận Ba Đình,"Phường Giảng Võ
Phần lớn các phường Ngọc Khánh, Thành Công
Một phần các phường Cống Vị, Kim Mã, Cát Linh (quận Đống Đa), Láng Hạ (quận Đống Đa)",Phường Giảng Võ,
Quận Hai Bà Trưng,"Các phường Đồng Nhân, Phố Huế
Phần lớn các phường Nguyễn Du, Phạm Đình Hổ, Lê Đại Hành
Một phần các phường Bạch Đằng, Thanh Nhàn",Phường Hai Bà Trưng,
Quận Hai Bà Trưng,"Phần lớn các phường Vĩnh Tuy, Thanh Lương, Mai Động (quận Hoàng Mai), Vĩnh Hưng (quận Hoàng Mai)",Phường Vĩnh Tuy,
Quận Hai Bà Trưng,"Các phường Bạch Mai, Quỳnh Mai, Bách Khoa
Phần lớn các phường Thanh Nhàn, Minh Khai, Đồng Tâm
Một phần các phường Lê Đại Hành, Trương Định, Phương Mai (quận Đống Đa)",Phường Bạch Mai,
Quận Đống Đa,"Phường Thịnh Quang
Phần lớn các phường Trung Liệt, Quang Trung
Một phần các phường Láng Hạ, Ô Chợ Dừa, Nam Đồng",Phường Đống Đa,
Quận Đống Đa,"Các phường Kim Liên, Khương Thượng
Phần lớn các phường Phương Mai, Phương Liên – Trung Tự, Quang Trung
Một phần các phường Nam Đồng, Trung Liệt",Phường Kim Liên,
Quận Đống Đa,"Các phường Khâm Thiên, Văn Chương, Thổ Quan
Phần lớn phường Văn Miếu – Quốc Tử Giám
Một phần các phường Hàng Bột, Nam Đồng, Phương Liên – Trung Tự, Điện Biên (quận Ba Đình), Cửa Nam (quận Hoàn Kiếm), Nguyễn Du (quận Hai Bà Trưng), Lê Đại Hành (quận Hai Bà Trưng)",Phường Văn Miếu - Quốc Tử Giám,
Quận Đống Đa,"Phường Láng Thượng
Phần lớn phường Láng Hạ
Một phần phường Ngọc Khánh (quận Ba Đình)",Phường Láng,
Quận Đống Đa,"Phần lớn các phường Ô Chợ Dừa, Hàng Bột, Cát Linh
Một phần các phường Văn Miếu – Quốc Tử Giám, Trung Liệt, Thành Công (quận Ba Đình), Điện Biên (quận Ba Đình)",Phường Ô Chợ Dừa,
,"Các phường Phúc Tân (quận Hoàn Kiếm), Chương Dương (quận Hoàn Kiếm), Phúc Xá (quận Ba Đình)
Phần lớn các phường Nhật Tân (quận Tây Hồ), Tứ Liên (quận Tây Hồ), Yên Phụ (quận Tây Hồ), Bạch Đằng (quận Hai Bà Trưng), Thanh Lương (quận Hai Bà Trưng)
Một phần các phường Phú Thượng (quận Tây Hồ), Quảng An (quận Tây Hồ), Ngọc Thụy (quận Long Biên), Bồ Đề (quận Long Biên)",Phường Hồng Hà,
Quận Hoàng Mai,"Phần lớn các phường Lĩnh Nam, Thanh Trì, Trần Phú, Yên Sở
Một phần phường Thanh Lương (quận Hai Bà Trưng)",Phường Lĩnh Nam,
Quận Hoàng Mai,"Phần lớn các phường Yên Sở, Thịnh Liệt
Một phần các phường Giáp Bát, Hoàng Liệt, Tân Mai, Tương Mai, Hoàng Văn Thụ, Vĩnh Hưng, Lĩnh Nam, Trần Phú",Phường Hoàng Mai,
Quận Hoàng Mai,"Phần lớn các phường Vĩnh Hưng, Thanh Trì
Một phần các phường Lĩnh Nam, Vĩnh Tuy (quận Hai Bà Trưng)",Phường Vĩnh Hưng,
Quận Hoàng Mai,"Phần lớn các phường Tương Mai, Hoàng Văn Thụ, Giáp Bát, Trương Định (quận Hai Bà Trưng)
Một phần các phường Vĩnh Hưng, Tân Mai, Mai Động, Phương Liệt (quận Thanh Xuân), Đồng Tâm (quận Hai Bà Trưng), Minh Khai (quận Hai Bà Trưng)",Phường Tương Mai,
