Quận An Dương,"Phường Nam Sơn
Phần lớn phường An Hải
Phần lớn phường Lê Lợi
Phần lớn phường Tân Tiến
Một phần phường An Hưng (quận Hồng Bàng)",Phường An Dương,
Quận An Dương,"Phường An Đồng
Phường Hồng Thái
Phường Đồng Thái
Một phần phường An Hải",Phường An Hải,
Quận An Dương,"Phường An Hòa
Phường Hồng Phong
Phần lớn phường Lê Thiện
Một phần phường Tân Tiến
Một phần phường Đại Bản (quận Hồng Bàng)",Phường An Phong,
Quận Dương Kinh,"Phường Hưng Đạo
Phường Đa Phúc
Phần lớn phường Anh Dũng
Một phần phường Hải Thành",Phường Hưng Đạo,
Quận Dương Kinh,"Phường Hòa Nghĩa
Phần lớn phường Tân Thành
Một phần phường Hải Thành
Một phần phường Anh Dũng",Phường Dương Kinh,
Quận Đồ Sơn,"Phường Hải Sơn
Phần lớn phường Vạn Hương
Phần lớn phường Ngọc Xuyên
Một phần phường Tân Thành (quận Dương Kinh)",Phường Đồ Sơn,
Quận Đồ Sơn,"Phường Bàng La
Phường Hợp Đức
Phường Minh Đức
Một phần phường Vạn Hương
Một phần phường Ngọc Xuyên",Phường Nam Đồ Sơn,
Quận Hải An,"Phường Cát Bi
Phường Đằng Lâm
Phường Đằng Hải
Phường Thành Tô
Phường Tràng Cát
Một phần phường Đông Hải 2
Một phần phường Nam Hải",Phường Hải An,
Quận Hải An,"Phường Đông Hải 1
Phần lớn phường Đông Hải 2
Phần lớn phường Nam Hải",Phường Đông Hải,
Quận Hồng Bàng,"Phường Hoàng Văn Thụ
Phường Minh Khai
Phường Phan Bội Châu
Phường Thượng Lý
Phường Sở Dầu
Phường Hùng Vương
Một phần phường Gia Viên (quận Ngô Quyền)",Phường Hồng Bàng,
Quận Hồng Bàng,"Phường Quán Toan
Phường An Hồng
Phần lớn phường An Hưng
Phần lớn phường Đại Bản
Một phần phường Lê Thiện (quận An Dương)
Một phần phường Tân Tiến (quận An Dương)",Phường Hồng An,
Quận Kiến An,"Phần lớn phường Đồng Hòa
Phần lớn phường Bắc Sơn
Một phần phường Trần Thành Ngọ
Một phần phường Nam Sơn
Một phần phường Văn Đẩu",Phường Kiến An,
Quận Kiến An,"Phường Bắc Hà
Phường Ngọc Sơn
Phần lớn phường Văn Đẩu
Phần lớn phường Nam Sơn
Một phần phường Đồng Hòa
Một phần phường Bắc Sơn
Một phần phường Trần Thành Ngọ
Một phần thị trấn Trường Sơn (huyện An Lão)",Phường Phù Liễn,
Quận Lê Chân,"Phường Hàng Kênh
Phường Dư Hàng Kênh
Phường Kênh Dương
Một phần phường Trần Nguyên Hãn
Một phần phường An Biên
Một phần phường Vĩnh Niệm
Một phần phường Lạch Tray (quận Ngô Quyền)
Một phần phường Cầu Đất (quận Ngô Quyền)",Phường Lê Chân,
Quận Lê Chân,"Phường An Dương
Phần lớn phường Vĩnh Niệm
Một phần phường An Biên
Một phần phường Trần Nguyên Hãn",Phường An Biên,
Quận Ngô Quyền,"Phường Máy Chai
Phường Cầu Tre
Phường Vạn Mỹ
Một phần phường Gia Viên
Một phần phường Đông Khê",Phường Ngô Quyền,
Quận Ngô Quyền,"Phường Đằng Giang
Phần lớn phường Lạch Tray
Phần lớn phường Cầu Đất
Một phần phường Gia Viên
Một phần phường Đông Khê",Phường Gia Viên,
Thành phố Thủy Nguyên,"Phường Dương Quan
Phường Thủy Đường
Một phần phường Hoa Động
Một phần phường An Lư
Một phần phường Thủy Hà",Phường Thủy Nguyên,
Thành phố Thủy Nguyên,"Phường Thiên Hương
Phường Hoàng Lâm
Một phần phường Hoa Động
Một phần phường Lê Hồng Phong",Phường Thiên Hương,
Thành phố Thủy Nguyên,"Phường Hòa Bình
Một phần phường An Lư
Một phần phường Thủy Hà",Phường Hòa Bình,
Thành phố Thủy Nguyên,"Phường Nam Triệu Giang
Phường Lập Lễ
Phường Tam Hưng",Phường Nam Triệu,
Thành phố Thủy Nguyên,"Phường Minh Đức
Phường Phạm Ngũ Lão
Xã Bạch Đằng",Phường Bạch Đằng,
Thành phố Thủy Nguyên,"Phường Lưu Kiếm
Phường Trần Hưng Đạo
Một phần xã Liên Xuân
Một phần xã Quang Trung",Phường Lưu Kiếm,
Thành phố Thủy Nguyên,"Phường Quảng Thanh
Phần lớn xã Quang Trung
Một phần phường Lê Hồng Phong",Phường Lê Ích Mộc,
