Quận Phú Xuân,"Các phường Gia Hội, Phú Hậu, Tây Lộc, Thuận Lộc, Thuận Hòa, Đông Ba",Phường Phú Xuân,
Quận Phú Xuân,"Các phường An Hòa, Hương An, Hương Sơ",Phường Huơng An,
Quận Phú Xuân,"Các phường Hương Long, Long Hồ, Kim Long",Phường Kim Long,
Quận Thuận Hóa,"Các phường An Cựu, An Đông, An Tây",Phường An Cựu,
Quận Thuận Hóa,"Các phường Phú Hội, Phú Nhuận, Vĩnh Ninh, Phước Vĩnh, Phường Đúc, Trường An",Phường Thuận Hóa,
Quận Thuận Hóa,"Các phường Vỹ Dạ, Xuân Phú, Thủy Vân",Phường Vỹ Dạ,
Quận Thuận Hóa,"Phường Thuận An
Các xã Phú Hải (huyện Phú Vang), Phú Thuận (huyện Phú Vang)",Phường Thuận An,
Quận Thuận Hóa,"Các phường Thủy Bằng, Thủy Biều, Thủy Xuân",Phường Thủy Xuân,
Quận Thuận Hóa,"Phường Hương Phong
Phường Hương Vinh (quận Phú Xuân)
Xã Quảng Thành (huyện Quảng Điền)",Phường Hóa Châu,
Quận Thuận Hóa,"Phường Phú Thượng
Các xã Phú Mỹ (huyện Phú Vang), Phú An (huyện Phú Vang)",Phường Mỹ Thượng,
Quận Thuận Hóa,Phường Dương Nỗ,Phường Dương Nỗ,
Thị xã Hương Thủy,"Các phường Thủy Châu, Thủy Lương
Xã Thủy Tân",Phường Hương Thủy,
Thị xã Hương Thủy,"Các phường Thủy Dương, Thủy Phương
Xã Thủy Thanh",Phường Thanh Thủy,
Thị xã Hương Thủy,"Phường Phú Bài
Các xã Dương Hòa, Phú Sơn, Thủy Phù",Phường Phú Bài,
Thị xã Hương Trà,"Các phường Hương Chữ, Hương Xuân
Xã Hương Toàn",Phường Kim Trà,
Thị xã Hương Trà,"Các phường Hương Văn, Hương Vân, Tứ Hạ",Phường Hương Trà,
Thị xã Hương Trà,"Các xã Bình Thành, Bình Tiến, Hương Bình",Xã Bình Điền,
Thị xã Phong Điền,"Phường Phong Thu
Các xã Phong Mỹ, Phong Xuân",Phường Phong Điền,
Thị xã Phong Điền,"Các phường Phong An, Phong Hiền
Xã Phong Sơn",Phường Phong Thái,
Thị xã Phong Điền,"Phường Phong Hòa
Các xã Phong Bình, Phong Chương",Phường Phong Dinh,
Thị xã Phong Điền,"Phường Phong Phú
Xã Phong Thạnh",Phường Phong Phú,
Thị xã Phong Điền,"Phường Phong Hải
Các xã Quảng Công (huyện Quảng Điền), Quảng Ngạn (huyện Quảng Điền)",Phường Phong Quảng,
Huyện A Lưới,"Các xã Hồng Thủy, Hồng Vân, Trung Sơn, Hồng Kim",Xã A Lưới 1,
Huyện A Lưới,"Thị trấn A Lưới
Các xã A Ngo, Hồng Bắc, Quảng Nhâm",Xã A Lưới 2,
Huyện A Lưới,"Các xã Sơn Thủy, Hồng Thượng, Phú Vinh, Hồng Thái",Xã A Lưới 3,
Huyện A Lưới,"Các xã Hương Phong, Lâm Đớt, A Roàng, Đông Sơn",Xã A Lưới 4,
Huyện A Lưới,"Các xã Hương Nguyên, Hồng Hạ",Xã A Lưới 5,
Huyện Phú Lộc,"Các xã Vinh Hưng, Vinh Mỹ, Giang Hải, Vinh Hiền",Xã Vinh Lộc,
Huyện Phú Lộc,"Thị trấn Lộc Sơn
Các xã Lộc Bổn, Xuân Lộc",Xã Lộc Sơn,
Huyện Phú Lộc,"Các xã Lộc An, Lộc Điền, Lộc Hòa",Xã Lộc An,
Huyện Phú Lộc,"Thị trấn Phú Lộc
Các xã Lộc Trì, Lộc Bình",Xã Phú Lộc,
Huyện Phú Lộc,"Thị trấn Lăng Cô
Các xã Lộc Thủy, Lộc Tiến, Lộc Vĩnh",Xã Chân Mây - Lăng Cô,
Huyện Phú Lộc,"Các xã Thượng Quảng, Thượng Long, Hương Hữu",Xã Long Quảng,
Huyện Phú Lộc,"Các xã Hương Sơn, Hương Xuân, Thượng Nhật",Xã Nam Đông,
Huyện Phú Lộc,"Thị trấn Khe Tre
Các xã Hương Lộc, Hương Phú, Thượng Lộ",Xã Khe Tre,
Huyện Phú Vang,"Các xã Phú Diên, Vinh An, Vinh Xuân, Vinh Thanh",Xã Phú Vinh,
Huyện Phú Vang,"Các xã Phú Hồ, Phú Lương, Phú Xuân",Xã Phú Hồ,
Huyện Phú Vang,"Thị trấn Phú Đa
Các xã Phú Gia, Vinh Hà",Xã Phú Vang,
Huyện Quảng Điền,"Các xã Quảng Thái, Quảng Lợi, Quảng Phú, Quảng Vinh",Xã Đan Điền,
Huyện Quảng Điền,"Thị trấn Sịa
Các xã Quảng An, Quảng Phước, Quảng Thọ",Xã Quảng Điền,
