Thành phố Nha Trang,"Các phường Vạn Thạnh, Tân Tiến, Lộc Thọ, Phước Hòa, Vĩnh Nguyên",Phường Nha Trang,
Thành phố Nha Trang,"Các phường Vĩnh Hòa, Vĩnh Hải, Vĩnh Phước, Vĩnh Thọ
Các xã Vĩnh Lương, Vĩnh Phương",Phường Bắc Nha Trang,
Thành phố Nha Trang,"Các phường Phước Long, Phước Hải, Vĩnh Trường
Các xã Phước Đồng, Vĩnh Thái",Phường Nam Nha Trang,
Thành phố Nha Trang,"Các phường Phương Sài, Ngọc Hiệp
Các xã Vĩnh Ngọc, Vĩnh Thạnh, Vĩnh Hiệp, Vĩnh Trung",Phường Tây Nha Trang,
Thành phố Cam Ranh,"Các phường Cam Phú, Cam Phúc Nam, Cam Lộc",Phường Cam Ranh,
Thành phố Cam Ranh,"Các phường Cam Nghĩa, Cam Phúc Bắc
Xã Cam Thành Nam",Phường Bắc Cam Ranh,
Thành phố Cam Ranh,"Các xã Cam Bình, Cam Lập, Cam Thịnh Đông, Cam Thịnh Tây",Xã Nam Cam Ranh,
Thành phố Cam Ranh,"Các phường Cam Linh, Cam Lợi, Cam Thuận",Phường Cam Linh,
Thành phố Cam Ranh,"Phường Ba Ngòi
Xã Cam Phước Đông",Phường Ba Ngòi,
Thị xã Ninh Hòa,"Các phường Ninh Hiệp, Ninh Đa
Các xã Ninh Đông, Ninh Phụng",Phường Ninh Hòa,
Thị xã Ninh Hòa,"Các phường Ninh Diêm, Ninh Hải, Ninh Thủy
Xã Ninh Phước",Phường Đông Ninh Hòa,
Thị xã Ninh Hòa,"Các xã Ninh An, Ninh Sơn, Ninh Thọ",Xã Bắc Ninh Hòa,
Thị xã Ninh Hòa,"Các xã Ninh Xuân, Ninh Quang, Ninh Bình",Xã Tân Định,
Thị xã Ninh Hòa,"Các phường Ninh Giang, Ninh Hà
Xã Ninh Phú",Phường Hòa Thắng,
Thị xã Ninh Hòa,"Các xã Ninh Lộc, Ninh Ích, Ninh Hưng, Ninh Tân",Xã Nam Ninh Hòa,
Thị xã Ninh Hòa,"Các xã Ninh Tây, Ninh Sim",Xã Tây Ninh Hòa,
Thị xã Ninh Hòa,"Các xã Ninh Thượng, Ninh Trung, Ninh Thân",Xã Hòa Trí,
Huyện Cam Lâm,"Thị trấn Cam Đức
Các xã Cam Hải Đông, Cam Hải Tây, Cam Thành Bắc
Một phần các xã Cam Hiệp Bắc, Cam Hiệp Nam, Cam Hòa, Cam Tân, Cam An Bắc, Cam An Nam, Suối Tân",Xã Cam Lâm,
Huyện Cam Lâm,"Xã Suối Cát
Một phần các xã Cam Hòa, Cam Tân, Suối Tân",Xã Suối Dầu,
Huyện Cam Lâm,"Xã Sơn Tân
Một phần các xã Cam Hiệp Bắc, Cam Hiệp Nam, Cam Hòa, Cam Tân, Suối Tân",Xã Cam Hiệp,
Huyện Cam Lâm,"Xã Cam Phước Tây
Một phần các xã Cam An Bắc, Cam An Nam",Xã Cam An,
Huyện Diên Khánh,"Thị trấn Diên Khánh
Các xã Diên An, Diên Toàn",Xã Diên Khánh,
Huyện Diên Khánh,"Các xã Diên Thạnh, Diên Lạc, Diên Hòa",Xã Diên Lạc,
Huyện Diên Khánh,"Các xã Diên Điền, Diên Sơn, Diên Phú",Xã Diên Điền,
Huyện Diên Khánh,"Các xã Diên Lâm, Xuân Đồng",Xã Diên Lâm,
