Thành phố Đà Lạt,,,
Thành phố Bảo Lộc,,,
Huyện Bảo Lâm,,,
Huyện Di Linh,,,
Huyện Đạ Huoai,,,
Huyện Đam Rông,,,
Huyện Đơn Dương,,,
Huyện Đức Trọng,,,
Huyện Lạc Dương,,,
Huyện Lâm Hà,,,
Thành phố Gia Nghĩa,"Phường Quảng Thành
Phường Nghĩa Thành
Phường Nghĩa Đức
Xã Đắk Ha (huyện Đắk Glong)","Phường Gia Nghĩa 1
hoặc
Phường Bắc Gia Nghĩa",
Thành phố Gia Nghĩa,"Phường Nghĩa Phú
Phường Nghĩa Tân
Xã Đắk R'Moan","Phường Gia Nghĩa 2
hoặc
Phường Nam Gia Nghĩa",
Thành phố Gia Nghĩa,"Phường Nghĩa Trung
Xã Đắk Nia","Phường Gia Nghĩa 3
hoặc
Phường Đông Gia Nghĩa",
Huyện Cư Jút,"Thị trấn Ea T'ling
Xã Tâm Thắng
Xã Trúc Sơn
Xã Cư Knia",Xã Cư Jút,
Huyện Cư Jút,"Xã Đắk Wil
Xã Ea Pô",Xã Đắk Wil,
Huyện Cư Jút,"Xã Nam Dong
Xã Đắk D'rông",Xã Nam Dong,
Huyện Đắk Glong,"Xã Đắk Som
Xã Đắk R'măng",Xã Tà Đùng,
Huyện Đắk Glong,"Xã Quảng Khê
Xã Đắk Plao",Xã Quảng Khê,
Huyện Đắk Glong,Xã Quảng Hòa,Xã Quảng Hòa,
Huyện Đắk Glong,Xã Quảng Sơn,Xã Quảng Sơn,
Huyện Đắk Mil,"Thị trấn Đắk Mil
Xã Đức Mạnh
Xã Đức Minh",Xã Đức Lập,
Huyện Đắk Mil,"Xã Thuận An
Xã Đắk Lao",Xã Thuận An,
Huyện Đắk Mil,"Xã Đắk Sắk
Xã Long Sơn
Xã Nam Xuân (huyện Krông Nô)",Xã Đắk Sắk,
Huyện Đắk Mil,"Xã Đắk Gằn
Xã Đắk N'Drót
Xã Đắk R'La",Xã Đắk Mil,
Huyện Đắk R'lấp,"Thị trấn Kiến Đức
Xã Kiến Thành
Xã Nghĩa Thắng
Xã Đạo Nghĩa",Xã Kiến Đức,
Huyện Đắk R'lấp,"Xã Đắk Wer
Xã Nhân Cơ
Xã Nhân Đạo",Xã Nhân Cơ,
Huyện Đắk R'lấp,"Xã Đắk Ru
Xã Đắk Sin
Xã Hưng Bình
Xã Quảng Tín",Xã Quảng Tín,
Huyện Đắk Song,"Xã Đắk Hòa
Xã Đắk Môl",Xã Đắk Song,
Huyện Đắk Song,"Thị trấn Đức An
Xã Đắk N'Drung
Xã Nam Bình",Xã Đức An,
Huyện Đắk Song,"Xã Thuận Hà
Xã Thuận Hạnh",Xã Thuận Hạnh,
Huyện Đắk Song,"Xã Nâm N'Jang
Xã Trường Xuân",Xã Trường Xuân,
Huyện Krông Nô,"Thị trấn Đắk Mâm
Xã Đắk Drô
Xã Tân Thành",Xã Krông Nô,
Huyện Krông Nô,"Xã Buôn Choáh
Xã Đắk Sôr
Xã Nam Đà",Xã Nam Đà,
Huyện Krông Nô,"Xã Nâm N'Đir
Xã Nâm Nung",Xã Nâm Nung,
Huyện Krông Nô,"Xã Đắk Nang
Xã Đức Xuyên
Xã Quảng Phú",Xã Quảng Phú,
Huyện Tuy Đức,"Xã Đắk Buk So
Xã Đắk R'Tih
Xã Quảng Tâm",Xã Tuy Đức,
Huyện Tuy Đức,"Xã Đắk Ngo
Xã Quảng Tân",Xã Quảng Tân,
Huyện Tuy Đức,Xã Quảng Trực,Xã Quảng Trực,
Thành phố Phan Thiết,"Phường Hàm Tiến
Phường Mũi Né
Xã Thiện Nghiệp",Phường Mũi Né,
Thành phố Phan Thiết,"Phường Phú Hài
Phường Phú Thủy
Phường Thanh Hải",Phường Phú Thủy,
Thành phố Phan Thiết,"Phường Phú Trinh 
Phường Lạc Đạo
Phường Bình Hưng",Phường Phan Thiết,
Thành phố Phan Thiết,"Phường Phú Tài
Xã Phong Nẫm
Xã Hàm Hiệp (huyện Hàm Thuận Bắc)",Phường Bình Thuận,
Thành phố Phan Thiết,"Phường Đức Long
Xã Tiến Thành",Phường Tiến Thành,
Thành phố Phan Thiết,"Xã Tiến Lợi
Xã Hàm Mỹ (huyện Hàm Thuận Nam)",Xã Tuyên Quang,
Thị xã La Gi,"Phường Bình Tân
Phường Tân An
Phường Tân Thiện
Xã Tân Bình",Phường La Gi,
Thị xã La Gi,"Phường Phước Hội
Phường Phước Lộc
Xã Tân Phước",Phường Phước Hội,
Thị xã La Gi,"Xã Tân Hải
Xã Tân Tiến",Xã Tân Hải,
Huyện Bắc Bình,"Thị trấn Chợ Lầu
Xã Phan Hiệp
Xã Phan Hòa
Xã Phan Rí Thành",Xã Bắc Bình,
Huyện Bắc Bình,,Xã Hồng Thái,
Huyện Bắc Bình,"Xã Bình An
Xã Hải Ninh
Xã Phan Điền",Xã Hải Ninh,
Huyện Bắc Bình,"Xã Phan Lâm
Xã Phan Sơn",Xã Phan Sơn,
Huyện Bắc Bình,"Xã Bình Tân
Xã Phan Tiến
Xã Sông Lũy",Xã Sông Lũy,
Huyện Bắc Bình,"Thị trấn Lương Sơn
Xã Sông Bình",Xã Lương Sơn,
Huyện Bắc Bình,"Xã Hòa Thắng
Xã Hồng Phong",Xã Hòa Thắng,
Huyện Đức Linh,"Xã Đa Kai
Xã Mê Pu
Xã Sùng Nhơn",Xã Nam Thành,
Huyện Đức Linh,"Thị trấn Võ Xu
Xã Nam Chính
Xã Vũ Hòa",Xã Đức Linh,
Huyện Đức Linh,"Thị trấn Đức Tài
Xã Đức Hạnh
Xã Đức Tín",Xã Hoài Đức,
Huyện Đức Linh,"Xã Đông Hà
Xã Tân Hà
Xã Trà Tân",Xã Trà Tân,
Huyện Hàm Tân,"Thị trấn Tân Minh
Xã Tân Đức
Xã Tân Phúc",Xã Tân Minh,
Huyện Hàm Tân,"Thị trấn Tân Nghĩa
Xã Tân Hà
Xã Tân Xuân",Xã Hàm Tân,
Huyện Hàm Tân,"Xã Sơn Mỹ
Xã Tân Thắng
Xã Thắng Hải",Xã Sơn Mỹ,
Huyện Hàm Thuận Bắc,"Xã Đông Giang
Xã Đông Tiến",Xã Đông Giang,
Huyện Hàm Thuận Bắc,"Xã Đa Mi
Xã La Dạ",Xã La Dạ,
Huyện Hàm Thuận Bắc,"Hàm Phú
Xã Hàm Trí
Xã Thuận Hòa",Xã Hàm Thuận Bắc,
Huyện Hàm Thuận Bắc,"Thị trấn Ma Lâm
Xã Hàm Đức
Xã Thuận Minh",Xã Hàm Thuận,
Huyện Hàm Thuận Bắc,"Xã Hồng Liêm
Xã Hồng Sơn",Xã Hồng Sơn,
Huyện Hàm Thuận Bắc,"Xã Hàm Chính
Xã Hàm Liêm",Xã Hàm Liêm,
Huyện Hàm Thuận Bắc,"Thị trấn Phú Long
Xã Hàm Thắng
Phường Xuân An (thành phố Phan Thiết)",Phường Hàm Thắng,
Huyện Hàm Thuận Nam,"Xã Hàm Cần
Xã Hàm Thạnh
Xã Mỹ Thạnh",Xã Hàm Thạnh,
Huyện Hàm Thuận Nam,"XãHàm Cường
Xã Hàm Kiệm
Xã Mương Mán",Xã Hàm Kiệm,
Huyện Hàm Thuận Nam,"Xã Tân Thành
Xã Tân Thuận
Xã Thuận Quý",Xã Tân Thành,
Huyện Hàm Thuận Nam,"Thị trấn Thuận Nam
Xã Hàm Minh",Xã Hàm Thuận Nam,
Huyện Hàm Thuận Nam,"Xã Tân Lập
Xã Sông Phan (huyện Hàm Tân)",Xã Tân Lập,
Huyện Phú Quý,"Xã Ngũ Phụng
Xã Tam Thanh
Xã Long Hải",Đặc khu Phú Quý,
Huyện Tánh Linh,"Xã Đức Phú
Xã Nghị Đức",Xã Nghị Đức,
Huyện Tánh Linh,"Xã Bắc Ruộng
Xã Măng Tố",Xã Bắc Ruộng,
Huyện Tánh Linh,"Xã Đồng Kho
Xã Đức Bình
Xã Huy Khiêm
Xã La Ngâu",Xã Đồng Kho,
Huyện Tánh Linh,"Thị trấn Lạc Tánh
Xã Đức Thuận
Xã Gia An",Xã  Tánh Linh,
Huyện Tánh Linh,"Xã Gia Huynh
Xã Suối Kiết",Xã Suối Kiết,
Huyện Tuy Phong,"Xã Vĩnh Hảo
Xã Vĩnh Tân",Xã Vĩnh Hảo,
Huyện Tuy Phong,"Thị trấn Liên Hương
Xã Bình Thạnh
Xã Phú Lạc
Xã Phước Thể",Xã Liên Hương,
Huyện Tuy Phong,"Xã Phan Dũng
Một phần xã Phong Phú",Xã Tuy Phong,
Huyện Tuy Phong,"Thị trấn Phan Rí Cửa
Xã Chí Công
Xã Hòa Minh
Một phần xã Phong Phú",Xã Phan Rí Cửa,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
