Thành phố Đông Hà,Chưa rõ,Chưa có tên,
Thành phố Đông Hà,Chưa rõ,Chưa có tên,
Thành phố Đông Hà,Chưa rõ,Chưa có tên,
Thị xã Quảng Trị,Chưa rõ,Chưa có tên,
Huyện Cam Lộ,Chưa rõ,Chưa có tên,
Huyện Cồn Cỏ,Không phân chia,Đặc khu Cồn Cỏ,
Huyện Đakrông,Chưa rõ,Chưa có tên,
Huyện Gio Linh,Chưa rõ,Chưa có tên,
Huyện Hải Lăng,Chưa rõ,Chưa có tên,
Huyện Hướng Hóa,Chưa rõ,Chưa có tên,
Huyện Triệu Phong,Chưa rõ,Chưa có tên,
Huyện Vĩnh Linh,Chưa rõ,Chưa có tên,
Thành phố Đồng Hới,"Phường Nam Lý
Phường Đồng Hải
Phường Đồng Phú
Phường Đức Ninh Đông
Phường Phú Hải
Phường Hải Thành
Xã Bảo Ninh
Xã Đức Ninh",Phường Đồng Hới,
Thành phố Đồng Hới,"Phường Bắc Lý
Xã Lộc Ninh
Xã Quang Phú",Phường Đồng Thuận,
Thành phố Đồng Hới,"Phường Bắc Nghĩa
Phường Đồng Sơn
Xã Nghĩa Ninh
Xã Thuận Đức",Phường Đồng Sơn,
Thị xã Ba Đồn,"Phường Quảng Long
Phường Ba Đồn
Phường Quảng Phong
Xã Quảng Hải",Phường Ba Đồn,
Thị xã Ba Đồn,"Phường Quảng Phúc
Phường Quảng Thọ
Phường Quảng Thuận",Phường Bắc Gianh,
Thị xã Ba Đồn,"Xã Quảng Hòa
Xã Quảng Lộc
Xã Quảng Minh
Xã Quảng Văn",Xã Nam Gianh,
Thị xã Ba Đồn,"Xã Quảng Sơn
Xã Quảng Tân
Xã Quảng Thủy
Xã Quảng Tiên
Xã Quảng Trung",Xã Tây Gianh,
Huyện Bố Trạch,"Xã Tân Trạch
Xã Thượng Trạch",Xã Thượng Trạch,
Huyện Bố Trạch,"Thị trấn Phong Nha
Xã Lâm Trạch
Xã Xuân Trạch
Xã Phúc Trạch",Xã Phong Nha,
Huyện Bố Trạch,"Xã Bắc Trạch
Xã Thanh Trạch
Xã Hạ Mỹ
Xã Liên Trạch",Xã Bắc Trạch,
Huyện Bố Trạch,"Xã Hải Phú
Xã Sơn Lộc
Xã Đức Trạch
Xã Đồng Trạch",Xã Đông Trạch,
Huyện Bố Trạch,"Thị trấn Hoàn Lão
Xã Trung Trạch
Xã Đại Trạch
Xã Tây Trạch
Xã Hòa Trạch",Xã Hoàn Lão,
Huyện Bố Trạch,"Xã Hưng Trạch
Xã Cự Nẫm
Xã Vạn Trạch
Xã Phú Định",Xã Bố Trạch,
Huyện Bố Trạch,"Thị trấn Nông trường Việt Trung
Xã Nhân Trạch
Xã Lý Nam",Xã Nam Trạch,
Huyện Lệ Thủy,"Thị trấn Kiến Giang
Xã Liên Thủy
Xã Xuân Thủy
Xã An Thủy
Xã Phong Thủy
Xã Lộc Thủy",Xã Lệ Thủy,
Huyện Lệ Thủy,"Xã Cam Thủy
Xã Thanh Thủy
Xã Hồng Thủy
Xã Ngư Thủy Bắc",Xã Cam Hồng,
Huyện Lệ Thủy,"Xã Hưng Thủy
Xã Sen Thủy
Xã Ngư Thủy",Xã Sen Ngư,
Huyện Lệ Thủy,"Xã Tân Thủy
Xã Dương Thủy
Xã Mỹ Thủy
Xã Thái Thủy",Xã Tân Mỹ,
Huyện Lệ Thủy,"Xã Trường Thủy
Xã Mai Thủy
Xã Phú Thủy",Xã Trường Phú,
Huyện Lệ Thủy,"Thị trấn Nông trường Lệ Ninh
Xã Sơn Thủy
Xã Hoa Thủy",Xã Lệ Ninh,
Huyện Lệ Thủy,"Xã Kim Thủy
Xã Lâm Thủy
Xã Ngân Thủy",Xã Kim Ngân,
Huyện Minh Hóa,"Xã Dân Hóa
Xã Trọng Hóa",Xã Dân Hóa,
Huyện Minh Hóa,"Xã Hóa Sơn
Xã Hóa Hợp",Xã Kim Điền,
Huyện Minh Hóa,"Xã Thượng Hóa
Xã Trung Hóa
Xã Minh Hóa
Xã Tân Hóa",Xã Kim Phú,
Huyện Minh Hóa,"Thị trấn Quy Đạt
Xã Xuân Hóa
Xã Yên Hóa
Xã Hồng Hóa",Xã Minh Hóa,
Huyện Minh Hóa,Xã Tân Thành,Xã Tân Thành,
Huyện Quảng Ninh,"Thị trấn Quán Hàu
Xã Vĩnh Ninh
Xã Võ Ninh
Xã Hàm Ninh",Xã Quảng Ninh,
Huyện Quảng Ninh,"Xã Tân Ninh
Xã Gia Ninh
Xã Duy Ninh
Xã Hải Ninh",Xã Ninh Châu,
Huyện Quảng Ninh,"Xã Vạn Ninh
Xã An Ninh
Xã Xuân Ninh
Xã Hiền Ninh",Xã Trường Ninh,
Huyện Quảng Ninh,"Xã Trường Sơn
Xã Trường Xuân",Xã Trường Sơn,
Huyện Quảng Trạch,"Xã Phù Cảnh
Xã Liên Trường
Xã Quảng Thanh",Xã Tân Gianh,
Huyện Quảng Trạch,"Xã Quảng Lưu
Xã Quảng Thạch
Xã Quảng Tiến",Xã Trung Thuần,
Huyện Quảng Trạch,"Xã Quảng Phương
Xã Quảng Xuân
Xã Quảng Hưng",Xã Quảng Trạch,
Huyện Quảng Trạch,"Xã Quảng Châu
Xã Quảng Tùng
Xã Cảnh Dương",Xã Hòa Trạch,
Huyện Quảng Trạch,"Xã Quảng Đông
Xã Quảng Phú
Xã Quảng Kim
Xã Quảng Hợp",Xã Phú Trạch,
Huyện Tuyên Hóa,"Xã Lâm Hóa
Xã Thanh Hóa",Xã Tuyên Lâm,
Huyện Tuyên Hóa,"Xã Thanh Thạch
Xã Hương Hóa",Xã Tuyên Sơn,
Huyện Tuyên Hóa,"Thị trấn Đồng Lê
Xã Kim Hóa
Xã Lê Hóa
Xã Thuận Hóa
Xã Sơn Hóa",Xã Đồng Lê,
Huyện Tuyên Hóa,"Xã Đồng Hóa
Xã Thạch Hóa
Xã Đức Hóa",Xã Tuyên Phú,
Huyện Tuyên Hóa,"Xã Phong Hóa
Xã Ngư Hóa
Xã Mai Hóa",Xã Tuyên Bình,
Huyện Tuyên Hóa,"Xã Cao Quảng
Xã Châu Hóa
Xã Tiến Hóa
Xã Văn Hóa",Xã Tuyên Hóa,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
