Thành phố Vĩnh Long,"Phường 1
Phường 9
Phường Trường An",Phường Long Châu,
Thành phố Vĩnh Long,"Phường 3
Phường 4
Xã Phước Hậu (huyện Long Hồ)",Phường Phước Hậu,
Thành phố Vĩnh Long,"Phường 5
Xã Thanh Đức (huyện Long Hồ)",Phường Thanh Đức,
Thành phố Vĩnh Long,"Phường 8
Xã Tân Hạnh (huyện Long Hồ)",Phường Tân Hạnh,
Thành phố Vĩnh Long,"Phường Tân Ngãi
Phường Tân Hòa
Phường Tân Hội",Phường Tân Ngãi,
Thị xã Bình Minh,"Phường Thành Phước
Xã Thuận An",Phường Bình Minh,
Thị xã Bình Minh,"Phường Cái Vồn
Xã Mỹ Hòa
Một phần xã Ngãi Tứ (huyện Tam Bình)",Phường Cái Vồn,
Thị xã Bình Minh,"Phường Đông Thành
Xã Đông Bình
Xã Đông Thành
Xã Đông Thạnh",Phường Đông Thành,
Huyện Bình Tân,"Thị trấn Tân Quới
Xã Tân Bình
Xã Thành Lợi",Xã Tân Quới,
Huyện Bình Tân,"Xã Tân An Thạnh
Xã Tân Lược
Xã Tân Thành",Xã Tân Lược,
Huyện Bình Tân,"Xã Thành Trung
Xã Mỹ Thuận
Xã Nguyễn Văn Thảnh",Xã Mỹ Thuận,
Huyện Long Hồ,"Thị trấn Long Hồ
Xã Long An
Xã Long Phước",Xã Long Hồ,
Huyện Long Hồ,"Xã An Bình
Xã Bình Hòa Phước
Xã Đồng Phú
Xã Hòa Ninh",Xã An Bình,
Huyện Long Hồ,"Xã Lộc Hòa
Xã Hòa Phú
Xã Phú Quới
Xã Thạnh Quới",Xã Phú Quới,
Huyện Mang Thít,"Thị trấn Cái Nhum
Xã An Phước
Xã Chánh An",Xã Cái Nhum,
Huyện Mang Thít,"Xã Tân An Hội
Xã Tân Long
Xã Tân Long Hội",Xã Tân Long Hội,
Huyện Mang Thít,"Xã Mỹ Phước
Xã Nhơn Phú
Xã Mỹ An",Xã Nhơn Phú,
Huyện Mang Thít,"Xã Bình Phước
Xã Hòa Tịnh
Xã Long Mỹ",Xã Bình Phước,
Huyện Tam Bình,"Thị trấn Tam Bình
Xã Mỹ Thạnh Trung
Xã Mỹ Lộc",Xã Tam Bình,
Huyện Tam Bình,"Xã Hòa Thạnh
Xã Hòa Hiệp
Xã Hòa Lộc",Xã Hòa Hiệp,
Huyện Tam Bình,"Xã Loan Mỹ
Xã Bình Ninh
Một phần xã Ngãi Tứ
Một phần thị trấn Trà Ôn (huyện Trà Ôn)",Xã Ngãi Tứ,
Huyện Tam Bình,"Xã Long Phú
Xã Tân Phú
Xã Song Phú
Xã Phú Thịnh",Xã Song Phú,
Huyện Tam Bình,"Xã Tân Lộc
Xã Hậu Lộc
Xã Phú Lộc",Xã Hậu Lộc,
Huyện Trà Ôn,"Một phần thị trấn Trà Ôn
Xã Tích Thiện",Xã Trà Ôn,
Huyện Trà Ôn,"Xã Lục Sỹ Thành
Xã Phú Thành",Xã Lục Sỹ Thành,
Huyện Trà Ôn,"Xã Nhơn Bình
Xã Trà Côn
Xã Tân Mỹ
Một phần thị trấn Tam Bình (huyện Tam Bình)",Xã Trà Côn,
Huyện Trà Ôn,"Xã Vĩnh Xuân
Xã Thuận Thới
Xã Hựu Thành",Xã Vĩnh Xuân,
Huyện Trà Ôn,"Xã Xuân Hiệp
Xã Hòa Bình
Xã Thới Hòa",Xã Hòa Bình,
Huyện Vũng Liêm,"Thị trấn Vũng Liêm
Xã Trung Thành
Xã Trung Hiếu",Xã Trung Thành,
Huyện Vũng Liêm,"Xã Quới Thiện
Xã Thanh Bình",Xã Quới Thiện,
Huyện Vũng Liêm,"Xã Trung Thành Đông
Xã Trung Ngãi
Xã Trung Nghĩa",Xã Trung Ngãi,
Huyện Vũng Liêm,"Xã Trung Thành Tây
Xã Quới An
Xã Tân Quới Trung",Xã Quới An,
